City,LAT,LON,Area,Type,Name,Artists,Address,City2,State,Zip,Year,Participant,desc1,desc2,url,partner,funder,LAT,LON
Louisville,38.26323355,-85.52415899,Community Outreach,Picture Love,Picture Love @ Berrytown CC - Adults with Developmental Disabilities,,1300 Heafer Rd,Louisville,Kentucky,40223,2017,99,placeholder 119,placeholder 113,http://www.louisvillevisualart.org/picture-love/,Community Partners,Metro Parks,38.26323355,-85.52415899
Louisville,38.2362221,-85.8020759,Community Outreach,LVA 5x5/ Teacher Art Grant,5x5 @ Maupin Elementary,,1312 Catalpa St,Louisville,Kentucky,40211,2016,99,placeholder 120,placeholder 114,http://www.louisvillevisualart.org/opendoors-in-schools,Community Partners,Fund for the Arts,38.2362221,-85.8020759
Louisville,38.2352699,-85.7146815,Community Outreach,Art Buffet,Carmichaels - Eric Carle Workshop,Jackie Pallesen,1313 Bardstown Road,Louisville,Kentucky,40204,2015,99,placeholder 121,placeholder 115,http://www.louisvillevisualart.org/art-buffet-1,Community Partners,Metro EAF,38.2352699,-85.7146815
Louisville,38.18046915,-85.78568674,Community Outreach,LVA 5x5/ Teacher Art Grant,5x5 @ Hazlewood Elementary,,1325 Bluegrass Ave,Louisville,Kentucky,40215,2016,99,placeholder 122,placeholder 116,http://www.louisvillevisualart.org/opendoors-in-schools,Community Partners,Fund for the Arts,38.18046915,-85.78568674
Louisville,38.2495576,-85.72414298,Community Outreach,LVA 5x5/ Teacher Art Grant,5x5 @ Breckenridge Franklin,,1351 Payne St,Louisville,Kentucky,40206,2016,99,placeholder 123,placeholder 117,http://www.louisvillevisualart.org/opendoors-in-schools,Community Partners,Alltrade; Fund for the Arts,38.2495576,-85.72414298
Louisville,38.0635212,-85.71767077,Community Outreach,LVA 5x5/ Teacher Art Grant,5x5 @ Brooks Elementary,,1430 Brooks Hill Road Brooks,Louisville,Kentucky,40109,2016,99,placeholder 124,placeholder 118,http://www.louisvillevisualart.org/opendoors-in-schools,Community Partners,Fund for the Arts,38.0635212,-85.71767077
Buckner,38.381276,-85.4295239,Community Outreach,LVA 5x5/ Teacher Art Grant,Teacher Art Grant @ Oldham County High School,,150 KY-393,Buckner,Kentucky,40010,2016,99,placeholder 125,placeholder 119,http://www.louisvillevisualart.org/opendoors-in-schools,Community Partners,Fund for the Arts,38.381276,-85.4295239
Louisville,38.17786545,-85.80751629,Community Outreach,LVA 5x5/ Teacher Art Grant,5x5 @ Gutermuth Elementary,,1500 Sanders Ln,Louisville,Kentucky,40216,2016,99,placeholder 126,placeholder 120,http://www.louisvillevisualart.org/opendoors-in-schools,Community Partners,Fund for the Arts,38.17786545,-85.80751629
Louisville,38.17786545,-85.80751629,Community Outreach,LVA 5x5/ Teacher Art Grant,5x5 @ Gutermuth Elementary,,1500 Sanders Ln,Louisville,Kentucky,40216,2015,99,placeholder 127,placeholder 121,http://www.louisvillevisualart.org/opendoors-in-schools,Community Partners,Fund for the Arts,38.17786545,-85.80751629
Louisville,38.23163295,-85.70733092,Community Outreach,Community Support,Highlands Commerce Guild - Spirt of the Highlands Mural,Jackie Pallesen,1529 Bardstown Rd,Louisville,Kentucky,40205,2016,99,placeholder 128,placeholder 122,http://www.louisvillevisualart.org/community-outreach,Community Partners,Metro EAF,38.23163295,-85.70733092
